Id,Formula,Name,Melting_Pt,
443,C6H4N2O4 ,"1,3-dinitrobenzene ",363.2,
444,C6H4N2O4 ,"1,2-dinitrobenzene ",396.1,
445,C6H4N2O5,"2,3-dinitrophenol",417.0,
446,C6H4N2O5 ,"2,6-dinitrophenol",336.0,
447,C6H4N2O5 ,"2,5-dinitrophenol",381.0,
448,C6H4N2O5 ,"2,4-dinitrophenol",388.0,
449,C6H4N2O5 ,"3,4-dinitrophenol",407.0,
450,C6H4O2 ,p-benzoquinone,388.0,
451,C6H5Br  ,bromobenzene,242.4,
452,C6H5BrCl2N ,"4-bromo-2,5-dichloroaniline",343.4,
453,C6H5BrO ,4-bromophenol,336.0,
454,C6H5Cl  ,chlorobenzene           ,227.9,
455,C6H5Cl2N ,"2,6-dichloro-4-benzenamine",467.2,
456,C6H5ClO,4-chlorophenol,315.9,
457,C6H5ClO ,2-chlorophenol,283.0,
458,C6H5ClO ,3-chlorophenol,305.8,
459,C6H5F ,fluorobenzene,230.9,
460,C6H5I ,iodobenzene,241.8,
461,C6H5NO2 ,picolinic acid,411.0,
462,C6H5NO2 ,nicotinic acid,510.0,
463,C6H5NO2 ,isonicotinic acid,593.0,
464,C6H5NO2  ,nitrobenzene,278.8,
465,C6H5NO3 ,o-nitrophenol,318.2,
466,C6H5NO3 ,m-nitrophenol,371.2,
467,C6H5NO3 ,p-nitrophenol,388.2,
468,C6H6,"2,4-hexadiyne",117.9,
469,C6H6  ,benzene,278.7,
470,C6H6Cl6 ,"1a,2a,3ß,4a,5a,6ß-hexachlorocyclohexane",386.8,
471,C6H6N2O2,2-nitroaniline ,344.4,
472,C6H6N2O2 ,4-nitroaniline,420.2,
473,C6H6N2O2 ,3-nitroaniline,387.2,
474,C6H6N6O14 ,"2,2,2-trinitroethyl 4,4,4-trinitrobutyrate",366.5,
475,C6H6O ,phenol,314.0,
476,C6H6O2  ,"1,2-dihydroxybenzene",376.9,
477,C6H6O2  ,"1,3-dihydroxybenzene",382.6,
478,C6H6O2  ,"1,4-dihydroxybenzene",453.0,
479,C6H6O3 ,"1,2,3-trihydroxybenzene",407.2,
480,C6H6S    ,thiophenol,258.2,
481,C6H7N    ,aniline,267.1,
482,C6H7N    ,2-methylpyridine,206.5,
483,C6H7N    ,3-methylpyridine,255.0,
484,C6H7NO ,m-aminophenol,399.0,
485,C6H7NO ,p-aminophenol,462.5,
486,C6H7NO ,o-aminophenol,447.4,
487,C6H7NO2,n-ethyl-a-cyanoacrylate,243.2,
488,C6H8   ,"1,3-cyclohexadiene",161.0,
489,C6H8   ,"1,4-cyclohexadiene",224.0,
490,C6H8ClO2 ,chloroethyl methacrylate,235.1,
491,C6H8N2 ,m-phenylenediamine,335.5,
492,C6H8N2 ,phenylhydrazine,292.8,
493,C6H8N2 ,p-phenylenediamine,412.3,
494,C6H8N2 ,o-phenylenediamine,373.9,
495,C6H8N2O2 ,"1,3-dimethyluracil",398.0,
